Conflict,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
2_4970_4848,0.2526968717575073,0.0,0.0,0.0,0.0,0.0,0.0,0.6649264097213745,0.0,0.0,0.08145951479673386,0.0
2_4970_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651699960231781,0.0,0.34377923607826233,0.0,0.0
2_4986_4848,0.0,0.0,0.0,0.0,0.0,0.11098819226026535,0.8484481573104858,0.0,0.0,0.0,0.03724506124854088,0.0
2_4986_58,0.44621095061302185,0.0,0.0,0.0,0.0,0.0,0.0,0.20223431289196014,0.0,0.28453975915908813,0.06444428861141205,0.0
2_5000_4848,0.0,0.0,0.0,0.0,0.0,0.0,0.03665367513895035,0.0,0.0,0.0,0.06092451140284538,0.9013258814811707
2_5000_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6277347803115845,0.0,0.18394125998020172,0.14041827619075775,0.04495582729578018
2_5607_5683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509138286113739,0.0,0.17453928291797638,0.08969496935606003,0.22434955835342407
2_5633_5683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8918135166168213,0.0,0.10610830038785934,0.0,0.0
2_5643_5683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8467788696289062,0.0,0.150846928358078,0.0,0.0
2_5659_5683,0.20664121210575104,0.0,0.39592716097831726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39588314294815063
1_6074_6198,0.0,0.0,0.0,0.6283695697784424,0.3695082366466522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_6074_6206,0.0,0.0,0.0,0.6815031170845032,0.31700700521469116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_6090_6224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6197351813316345,0.37757083773612976,0.0
1_6090_6198,0.0,0.0,0.0,0.0,0.8659817576408386,0.0,0.0,0.0,0.1313949078321457,0.0,0.0,0.0
1_6090_6206,0.0,0.0,0.0,0.0,0.8960648775100708,0.0,0.0,0.0,0.10189928114414215,0.0,0.0,0.0
2_6105_6224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997188150882721,0.0,0.0
1_6105_6198,0.0,0.0,0.0,0.0,0.5166616439819336,0.0,0.0,0.0,0.4796510338783264,0.0,0.0,0.0
1_6105_6206,0.0,0.0,0.0,0.0,0.6411893367767334,0.0,0.0,0.0,0.3570288121700287,0.0,0.0,0.0
2_6115_6224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9901079535484314,0.0,0.0
1_6115_6198,0.0,0.0,0.0,0.0,0.5587669014930725,0.0,0.0,0.0,0.43880119919776917,0.0,0.0,0.0
1_6115_6206,0.0,0.0,0.0,0.0,0.6232726573944092,0.0,0.0,0.0,0.3746492564678192,0.0,0.0,0.0
2_6130_6224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44194233417510986,0.0,0.26015183329582214,0.2962428629398346,0.0
1_6130_6206,0.0,0.0,0.0,0.0,0.0,0.0,0.11842469871044159,0.0,0.8790827393531799,0.0,0.0,0.0
2_6139_6224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17933493852615356,0.0,0.34036269783973694,0.4784320592880249,0.0
1_6139_6198,0.0,0.0,0.0,0.0,0.0,0.0,0.9966787099838257,0.0,0.0,0.0,0.0,0.0
1_6139_6206,0.0,0.019013553857803345,0.0,0.0,0.9791039228439331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_6147_6224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1682969480752945,0.0,0.6562842130661011,0.1743737757205963,0.0
1_6147_6198,0.0,0.0,0.0,0.0,0.4572969079017639,0.0,0.0,0.0,0.5406249761581421,0.0,0.0,0.0
1_6147_6206,0.0,0.0,0.0,0.0,0.6027100086212158,0.0,0.0,0.0,0.39582201838493347,0.0,0.0,0.0
2_6156_6224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44709262251853943,0.0,0.14745549857616425,0.07947861403226852,0.32502222061157227
1_6156_6198,0.0,0.0,0.0,0.0,0.7739096879959106,0.0,0.0,0.0,0.22240298986434937,0.0,0.0,0.0
1_6156_6206,0.0,0.0,0.0,0.0,0.6899509429931641,0.0,0.0,0.0,0.3085811138153076,0.0,0.0,0.0
2_6166_6224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4798699915409088,0.0,0.518897294998169,0.0,0.0
1_6166_6198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967760443687439,0.0,0.0,0.0
1_6166_6206,0.0,0.0,0.0,0.0,0.2732013463973999,0.0,0.0,0.0,0.7249844670295715,0.0,0.0,0.0
2_6290_6396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2990592122077942,0.0,0.6992774605751038,0.0,0.0
2_6290_6412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995242178440094,0.0,0.0
2_6301_6396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1320042610168457,0.0,0.8661131858825684,0.0,0.0
2_6314_6396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977605938911438,0.0,0.0
